sample_id,init_n_TM,init_r_TM,init_q_TM,init_p_TM,init_I_TM,init_S_TM,init_monovalent,init_divalent,init_trivalent,initial_na,phase_change,init_state_O_-2,init_state_Na_1,init_state_O_-1,final_charge,final_n_TM,final_r_TM,final_q_TM,final_p_TM,final_I_TM,final_S_TM,final_na,final_state_O_-2,final_state_Na_1,final_state_O_-1
1,1.0,55.83333333333333,3.25,0.05852253202140985,57.13833333333333,1.3086053872534493,0.0,0.0,0.0,0.75,0,2.0,0.75,0.0,-2.7755575615628914e-17,1.0,52.31666666666666,3.9,0.07473938799453772,71.377,0.9797318396496707,0.1,2.0,0.1,0.0
2,1.0,56.675,3.4,0.06306075362371655,69.72351455,0.818808456222877,0.15,0.0,0.0,0.6,0,2.0,0.6,0.0,-2.220446049250313e-16,1.0,56.449999999999996,3.55,0.06612462760675272,73.95801455,0.818808456222877,0.1,1.65,0.1,0.3500000000000002
3,1.0,56.75,3.15,0.05574809461845896,55.3175,0.9376369622724493,0.0,0.0,0.0,0.85,1,2.0,0.85,0.0,1.3877787807814457e-17,1.0,52.15,3.95,0.07594901168014376,72.2655,0.6874357505033553,0.05,2.0,0.05,0.0
4,1.0,58.11,3.33,0.06152518576858542,72.90862134,0.5804106714219248,0.22,0.0,0.0,0.67,0,2.0,0.67,0.0,-1.8041124150158794e-16,1.0,58.06,3.3400000000000003,0.061762661370407146,73.12062134,0.5269079614313803,0.11,1.4500000000000002,0.11,0.5499999999999999
5,1.0,57.65,3.25,0.05927745314815993,67.09101455000001,1.1825143436142371,0.15,0.0,0.0,0.75,1,2.0,0.75,0.0,1.1102230246251565e-16,1.0,55.699999999999996,3.55,0.06730387288977159,73.44201455,0.818808456222877,0.15,1.6999999999999997,0.15,0.3000000000000002
7,1.0,59.599999999999994,3.4000000000000004,0.05899228819349708,67.03472000000001,1.3321790402101223,0.0,0.2,0.0,0.6,1,2.0,0.6,0.0,2.7755575615628914e-17,1.0,58.599999999999994,3.6,0.0637418002299317,71.27472,0.9502705392332347,0.09,1.69,0.09,0.31000000000000005
8,1.0,57.800000000000004,3.4,0.06118340200968697,69.71672,0.950270539233235,0.0,0.2,0.0,0.6,0,2.0,0.6,0.0,2.7755575615628914e-17,1.0,56.800000000000004,3.6,0.06593291404612159,73.95672,0.5004024235381879,0.09,1.6900000000000002,0.09,0.30999999999999983
9,1.0,57.010000000000005,3.33,0.06083939318210534,65.08692669999999,1.5589525669824849,0.1,0.0,0.0,0.67,0,2.0,0.67,0.0,-2.7755575615628914e-17,1.0,55.650000000000006,3.6,0.0670992674784315,74.9929097,1.4978661367769952,0.07,1.6700000000000002,0.07,0.32999999999999985
10,1.0,57.099999999999994,3.27,0.058803166605421,61.53710772,1.546456873412453,0.06,0.0,0.0,0.73,1,2.0,0.73,0.0,-5.551115123125783e-17,1.0,53.915,3.76,0.0715339250590221,74.35073582,1.1579888899916737,0.16,1.92,0.16,0.0800000000000001
11,1.0,57.16,3.33,0.06249793114862628,72.3062194,1.0797598670401611,0.2,0.0,0.0,0.67,0,2.0,0.67,0.0,-2.220446049250313e-16,1.0,56.6,3.4,0.06458126448195961,73.7860194,0.9502705392332347,0.2,1.6,0.2,0.4
12,1.0,54.81666666666666,3.2199999999999998,0.05891734975881084,56.522333333333336,1.2250827573344036,0.0,0.0,0.0,0.78,0,2.0,0.78,0.0,-2.7755575615628914e-17,1.0,52.391666666666666,3.85,0.073718096666859,72.32883333333334,1.3168364157347985,0.15,2.0,0.15,0.0
13,1.0,56.74999999999999,3.4,0.06298569107158977,70.26951455,0.818808456222877,0.15,0.0,0.0,0.6,0,2.0,0.6,0.0,1.3877787807814457e-17,1.0,56.74999999999999,3.4,0.06298569107158977,70.26951455,0.818808456222877,0.08,1.4799999999999998,0.08,0.5200000000000002
16,1.0,55.25000000000001,3.4499999999999997,0.06287740073849377,61.49099999999999,1.1872832254713437,0.0,0.0,0.0,0.55,1,2.0,0.55,0.0,1.3877787807814457e-16,1.0,52.7,3.9000000000000004,0.07416523727844483,71.02499999999999,0.639031859650177,0.05,1.9500000000000002,0.05,0.04999999999999975
18,0.923,57.42145178764897,3.384,0.0608746902992186,72.1663104,0.8751790262561062,0.0,0.154,0.0,0.615,0,1.9989999999999999,0.615,0.0010000000000000564,2.7755575615628914e-16,0.923,57.42145178764897,3.384,0.0608746902992186,72.1663104,0.8751790262561062,0.0,1.384,0.0,0.6159999999999999
19,1.0,55.230000000000004,3.33,0.06063362972601749,59.9336,1.0895163858645338,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,0.0,1.0,53.28,3.7199999999999998,0.06989517819706499,68.2016,0.5929533174474745,0.26,1.98,0.26,0.020000000000000018
20,1.0,57.699999999999996,3.33,0.05969549377893556,60.219495,1.254549300682811,0.0,0.15,0.0,0.67,1,2.0,0.67,0.0,-2.220446049250313e-16,1.0,55.39999999999999,3.6999999999999997,0.06938424273329934,68.054495,0.818808456222877,0.2,1.9,0.2,0.1000000000000002
22,1.0,56.260000000000005,3.3400000000000003,0.060317639669959074,60.0106367,1.4184983866621426,0.0,0.05,0.0,0.66,0,2.0,0.66,0.0,-4.85722573273506e-17,1.0,53.08500000000001,3.8400000000000003,0.0734904957975284,70.94575499999999,0.9719912527364327,0.08,1.9200000000000002,0.08,0.07999999999999988
23,1.0,58.65,3.1300000000000003,0.056067470237076096,66.2793697,1.4072026545204768,0.1,0.1,0.0,0.87,0,2.0,0.87,0.0,-5.551115123125783e-17,1.0,57.3,3.4,0.062479311486262824,72.0033697,0.9404479886553264,0.47,1.8699999999999999,0.47,0.13000000000000014
24,1.0,56.09,3.25,0.05828158079540643,57.6343,1.1964381352330247,0.0,0.0,0.0,0.75,0,2.0,0.75,0.0,0.0,1.0,53.69,3.73,0.0696804096828495,67.8103,0.8112702585146234,0.27,2.0,0.27,0.0
25,1.0,58.75,3.25,0.059893247269116184,73.21752425,0.5623351446188083,0.25,0.0,0.0,0.75,0,2.0,0.75,0.0,-1.8041124150158794e-16,1.0,58.75,3.25,0.059893247269116184,73.21752425,0.5623351446188083,0.08,1.33,0.08,0.67
26,1.0,56.349999999999994,3.33,0.05956083279115159,58.206,0.6341786357122057,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,-1.1102230246251565e-16,1.0,53.0,4.0,0.07547169811320753,72.40999999999998,1.1102230246251564e-16,0.0,2.0,0.0,0.0
27,1.0,55.95,3.3299999999999996,0.0599302909192304,58.94799999999999,1.042606863189627,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,-2.7755575615628914e-17,1.0,53.20000000000001,3.85,0.07257973944294699,69.969,0.6128694524619492,0.15,2.0,0.15,0.0
28,1.03,58.54368932038835,3.1999999999999997,0.058064040224177875,69.53722546,1.3462347051174202,0.18,0.03,0.0,0.8,0,2.0,0.8,0.0,2.7755575615628914e-17,1.03,57.71844660194175,3.37,0.0621011254551473,73.14122546,0.9667484213291024,0.21,1.58,0.21,0.41999999999999993
29,1.0,55.016666666666666,3.33,0.06080915343602396,60.05766666666666,1.3319220036479296,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,5.551115123125783e-17,1.0,52.83333333333333,3.6666666666666665,0.06980655612731085,67.185,1.0114042647073516,0.09,1.7566666666666666,0.09,0.24333333333333337
30,1.0,56.656,3.33,0.05942465162800182,58.144316999999994,1.284632298544226,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,-5.551115123125783e-17,1.0,54.146,3.802,0.07039270232340558,71.6339,0.7993001386796905,0.15,1.952,0.15,0.04800000000000007
32,1.0,58.794444444444444,3.33,0.059349821519632834,60.364511111111106,0.998046396629739,0.0,0.2222222222222222,0.0,0.67,1,2.0,0.67,0.0,1.1102230246251565e-16,1.0,57.666666666666664,3.5555555555555554,0.06470621564961188,65.14628888888889,0.5297061990576545,0.2,1.7555555555555555,0.2,0.2444444444444444
33,1.0,57.099999999999994,3.4,0.06184774873540669,69.72872000000001,0.9502705392332347,0.0,0.2,0.0,0.6,1,2.0,0.6,0.0,1.1102230246251565e-16,1.0,56.8,3.6,0.06593291404612159,75.37472,0.9502705392332347,0.07,1.67,0.07,0.33
35,1.0,57.449999999999996,3.3000000000000003,0.06000844730020671,67.31618970000001,1.277991468858459,0.1,0.05,0.0,0.7,0,2.0,0.7,0.0,-2.498001805406602e-16,1.0,55.49999999999999,3.5999999999999996,0.06803486704181838,73.6671897,0.9142855814670989,0.09,1.69,0.09,0.31000000000000016
36,1.0,55.650000000000006,3.3299999999999996,0.06022517951687129,58.21799999999999,1.042606863189627,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,3.3306690738754696e-16,1.0,53.75,3.7100000000000004,0.06924925238609707,66.274,0.7817708066176997,0.29,2.0,0.29,0.0
37,1.0,59.64999999999999,3.33,0.05927596757460128,61.11999,0.8384223834289064,0.0,0.3,0.0,0.67,0,2.0,0.67,0.0,2.220446049250313e-16,1.0,59.3,3.4,0.06093829678735339,62.603989999999996,0.6108643020548935,0.24,1.6399999999999997,0.24,0.3600000000000002
39,1.0,58.87,3.3299999999999996,0.059505168799248165,72.243408,0.9007513859854941,0.0,0.28,0.0,0.67,1,2.0,0.67,0.0,-1.942890293094024e-16,1.0,58.32,3.44,0.06211740041928721,74.57540800000001,0.5929533174474745,0.1,1.54,0.1,0.4600000000000001
40,1.0,56.60000000000001,3.33,0.059974659807125644,59.850531,1.256423640201891,0.0,0.07,0.0,0.67,1,2.0,0.67,0.0,0.0,1.0,53.17000000000001,3.8600000000000003,0.07412459629440761,71.070931,0.8047073206766868,0.13,1.9900000000000002,0.13,0.009999999999999787
42,1.0,56.85,3.33,0.06113876509751933,67.487262125,1.0619947202606537,0.125,0.0,0.0,0.67,0,2.0,0.67,0.0,1.1102230246251565e-16,1.0,54.625,3.625,0.0696478814961933,73.72626212499999,0.9002560512685369,0.2,1.825,0.2,0.175
43,0.8571428571428571,53.0,3.4285714285714284,0.06469002695417789,62.06571428571428,0.13212915413765,0.0,0.0,0.0,0.57,0,1.9985714285714282,0.57,0.0014285714285716677,-2.220446049250313e-16,0.8571428571428571,53.0,3.4285714285714284,0.06469002695417789,62.06571428571428,0.13212915413765,0.24,1.6685714285714286,0.24,0.3314285714285714
45,1.0,55.85,3.33,0.060022655451250115,59.1335,1.076782494808088,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,2.7755575615628914e-17,1.0,53.51,3.7800000000000002,0.07088948787061995,68.6717,0.6540663924369857,0.22,2.0,0.22,0.0
46,1.0,57.379999999999995,3.34,0.0617440642773314,70.89141746,0.8127678021576704,0.18,0.0,0.0,0.66,0,2.0,0.66,0.0,-2.7755575615628914e-17,1.0,57.379999999999995,3.34,0.0617440642773314,70.89141746,0.8127678021576704,0.21,1.5499999999999998,0.21,0.4500000000000002
48,1.0,55.074999999999996,3.33,0.060757089299354666,62.949619999999996,1.4145741957721918,0.0,0.0,0.05,0.67,1,2.0,0.67,0.0,-4.163336342344337e-17,1.0,51.275,3.95,0.0772534238523482,76.77562,1.094056456831614,0.05,2.0,0.05,0.0
49,1.03,59.72815533980582,3.34,0.06111638530287983,74.71261808,0.6562766650065724,0.24,0.03,0.0,0.66,0,2.0,0.66,0.0,1.942890293094024e-16,1.03,59.72815533980582,3.34,0.06111638530287983,74.71261808,0.6562766650065724,0.09,1.4299999999999997,0.09,0.5700000000000002
50,1.0,56.605999999999995,3.33,0.060545981971302135,65.15605485,1.2701985276311838,0.05,0.05,0.0,0.67,1,2.0,0.67,0.0,-1.942890293094024e-16,1.0,53.615,3.75,0.07230621758799513,74.04223485,0.9651584635884278,0.23,1.98,0.23,0.020000000000000115
51,1.0,57.71000000000001,3.33,0.059773270563420855,64.08258,1.3277404883063415,0.0,0.1,0.0,0.67,1,2.0,0.67,0.0,0.0,1.0,54.07000000000001,3.8,0.07216046850788442,74.11525999999999,0.9265333379816192,0.2,2.0,0.2,0.0
53,1.0,57.650000000000006,3.0,0.05205631129389434,51.216,0.3250829733914482,0.0,0.0,0.0,1.0,0,2.0,1.0,0.0,-5.551115123125783e-17,1.0,54.800000000000004,3.57,0.06559242059773299,63.3,0.9165249587390549,0.43,2.0,0.43,0.0
54,1.0,56.849999999999994,3.33,0.05991041092212205,63.96136,1.2685732184084877,0.0,0.1,0.0,0.67,1,2.0,0.67,0.0,2.220446049250313e-16,1.0,53.9,3.8,0.07227463312368972,73.91336,0.8018185525433373,0.19,1.9899999999999998,0.19,0.01000000000000012
56,1.0,55.68333333333333,3.33,0.06017659633794962,59.44266666666666,1.0985789547791986,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,-4.163336342344337e-17,1.0,51.73333333333333,3.95,0.07660414794848758,72.56966666666666,0.7774171975634762,0.05,2.0,0.05,0.0
57,1.0,54.85,3.33,0.06097149109836163,60.056,1.0136649195005232,0.0,0.0,0.0,0.67,1,2.0,0.67,0.0,-2.220446049250313e-16,1.0,54.0,3.5,0.06500857632933105,63.66,0.6931471805599453,0.12,1.62,0.12,0.38
61,0.99,58.19191919191919,3.34,0.05731642900617337,55.7432,1.2721822732156758,0.0,0.0,0.0,0.66,1,2.0,0.66,0.0,-1.5612511283791264e-17,0.99,54.060606060606055,3.96,0.07402465003043213,68.8674,1.0948449565014258,0.01,1.97,0.01,0.030000000000000034
62,1.0,54.6,3.33,0.06122169960545087,58.236,1.0136649195005232,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,1.1102230246251565e-16,1.0,53.54,3.64,0.06811840055392072,65.7922,0.9896238392836826,0.36,2.0,0.36,0.0
64,1.0,65.08,3.3400000000000003,0.053217317487266554,62.66082134,0.5269079614313803,0.22,0.0,0.0,0.66,1,2.0,0.66,0.0,2.7755575615628914e-17,1.0,65.08,3.3400000000000003,0.053217317487266554,62.66082134,0.5269079614313803,0.0,1.34,0.0,0.6599999999999999
65,1.0,57.099999999999994,3.33,0.05909334265562235,57.940075500000006,1.3028680026951267,0.0,0.0,0.0,0.67,0,2.0,0.67,0.0,1.7694179454963432e-16,1.0,54.27499999999999,3.8499999999999996,0.07108087738447944,74.18885,0.818808456222877,0.02,1.8699999999999997,0.02,0.13000000000000025
66,1.0,56.07222222222222,3.33,0.06028338319110385,62.295088888888884,1.4275317607973357,0.0,0.05555555555555555,0.0,0.67,0,2.0,0.67,0.0,-5.551115123125783e-17,1.0,54.19555555555555,3.67,0.068711731722738,69.49955555555555,1.0818965429543166,0.33,2.0,0.33,0.0
68,1.0,58.50000000000001,3.4,0.05867624933590245,56.173434,1.6094379124341003,0.0,0.0,0.0,0.6,1,2.0,0.6,0.0,-1.6653345369377348e-16,1.0,55.300000000000004,4.0,0.07298171221426906,77.2538,1.6094379124341003,0.0,2.0,0.0,0.0
